artist_id,artist_name,artist_tier,birth_year,country,biography
205,Artist 252,Emerging,1973,Japan,Biography for Artist 252.
206,Artist 189,Mid-Career,1964,Brazil,Biography for Artist 189.
207,Artist 306,Emerging,1955,Germany,Biography for Artist 306.
208,Artist 53,Mid-Career,1982,Italy,Biography for Artist 53.
209,Artist 298,Established,1982,India,Biography for Artist 298.
210,Artist 40,Established,1967,Australia,Biography for Artist 40.
211,Artist 326,Established,1950,China,Biography for Artist 326.
212,Artist 304,Emerging,1976,Canada,Biography for Artist 304.
213,Artist 201,Mid-Career,1980,UK,Biography for Artist 201.
214,Artist 140,Emerging,1970,Germany,Biography for Artist 140.
215,Artist 170,Mid-Career,1962,Japan,Biography for Artist 170.
216,Artist 354,Mid-Career,1998,Spain,Biography for Artist 354.
217,Artist 73,Mid-Career,1956,Brazil,Biography for Artist 73.
218,Artist 48,Established,1972,China,Biography for Artist 48.
219,Artist 284,Emerging,1988,France,Biography for Artist 284.
220,Artist 119,Emerging,1972,Germany,Biography for Artist 119.
221,Artist 29,Emerging,1951,Australia,Biography for Artist 29.
222,Artist 202,Mid-Career,1981,USA,Biography for Artist 202.
223,Artist 166,Emerging,1983,China,Biography for Artist 166.
224,Artist 317,Emerging,1957,South Korea,Biography for Artist 317.
225,Artist 265,Mid-Career,1960,Russia,Biography for Artist 265.
226,Artist 188,Established,1986,Germany,Biography for Artist 188.
227,Artist 184,Mid-Career,1977,Mexico,Biography for Artist 184.
228,Artist 385,Mid-Career,1968,UK,Biography for Artist 385.
229,Artist 305,Established,1974,China,Biography for Artist 305.
230,Artist 102,Emerging,1957,Italy,Biography for Artist 102.
231,Artist 257,Mid-Career,1950,Mexico,Biography for Artist 257.
232,Artist 18,Emerging,1976,Spain,Biography for Artist 18.
233,Artist 155,Emerging,1976,Italy,Biography for Artist 155.
234,Artist 233,Established,1988,Japan,Biography for Artist 233.
235,Artist 106,Emerging,1952,Brazil,Biography for Artist 106.
236,Artist 33,Emerging,1966,Canada,Biography for Artist 33.
237,Artist 1,Emerging,1984,Japan,Biography for Artist 1.
238,Artist 352,Established,1995,China,Biography for Artist 352.
239,Artist 213,Emerging,1961,India,Biography for Artist 213.
240,Artist 137,Mid-Career,1973,USA,Biography for Artist 137.
241,Artist 247,Emerging,1957,Italy,Biography for Artist 247.
242,Artist 374,Mid-Career,1989,Japan,Biography for Artist 374.
243,Artist 299,Emerging,1953,Canada,Biography for Artist 299.
244,Artist 361,Mid-Career,1973,France,Biography for Artist 361.
245,Artist 266,Mid-Career,1977,Russia,Biography for Artist 266.
246,Artist 389,Established,1958,Spain,Biography for Artist 389.
247,Artist 96,Emerging,1952,India,Biography for Artist 96.
248,Artist 64,Mid-Career,1975,Brazil,Biography for Artist 64.
249,Artist 388,Emerging,1989,Germany,Biography for Artist 388.
250,Artist 221,Guest,1992,France,Biography for Artist 221.
251,Artist 368,Established,1979,Russia,Biography for Artist 368.
252,Artist 290,Established,1965,Australia,Biography for Artist 290.
253,Artist 13,Guest,1956,France,Biography for Artist 13.
254,Artist 195,Mid-Career,1984,China,Biography for Artist 195.
255,Artist 171,Mid-Career,1967,Australia,Biography for Artist 171.
256,Artist 272,Emerging,1953,South Korea,Biography for Artist 272.
257,Artist 349,Emerging,1975,USA,Biography for Artist 349.
258,Artist 345,Mid-Career,1961,Japan,Biography for Artist 345.
259,Artist 366,Mid-Career,1991,South Korea,Biography for Artist 366.
260,Artist 387,Mid-Career,1967,Brazil,Biography for Artist 387.
261,Artist 196,Mid-Career,1960,USA,Biography for Artist 196.
262,Artist 277,Emerging,1980,Canada,Biography for Artist 277.
263,Artist 279,Emerging,1952,Canada,Biography for Artist 279.
264,Artist 239,Emerging,1997,South Korea,Biography for Artist 239.
265,Artist 76,Mid-Career,1963,India,Biography for Artist 76.
266,Artist 120,Guest,1952,Mexico,Biography for Artist 120.
267,Artist 159,Emerging,1957,Spain,Biography for Artist 159.
268,Artist 9,Established,1978,Japan,Biography for Artist 9.
269,Artist 222,Emerging,1958,India,Biography for Artist 222.
270,Artist 398,Emerging,1957,Spain,Biography for Artist 398.
271,Artist 22,Emerging,1979,Brazil,Biography for Artist 22.
272,Artist 68,Mid-Career,1971,Mexico,Biography for Artist 68.
273,Artist 390,Established,1966,UK,Biography for Artist 390.
274,Artist 163,Guest,1973,USA,Biography for Artist 163.
275,Artist 134,Emerging,1993,Brazil,Biography for Artist 134.
276,Artist 110,Established,1995,Mexico,Biography for Artist 110.
277,Artist 157,Emerging,1963,UK,Biography for Artist 157.
278,Artist 229,Mid-Career,1985,Canada,Biography for Artist 229.
279,Artist 205,Emerging,1971,Germany,Biography for Artist 205.
280,Artist 107,Emerging,1981,USA,Biography for Artist 107.
281,Artist 312,Emerging,1974,South Korea,Biography for Artist 312.
282,Artist 44,Emerging,1980,Mexico,Biography for Artist 44.
283,Artist 109,Emerging,1993,Brazil,Biography for Artist 109.
284,Artist 4,Emerging,1956,France,Biography for Artist 4.
285,Artist 177,Mid-Career,1998,China,Biography for Artist 177.
286,Artist 197,Established,1951,Japan,Biography for Artist 197.
287,Artist 118,Mid-Career,1974,France,Biography for Artist 118.
288,Artist 58,Guest,1997,Australia,Biography for Artist 58.
289,Artist 127,Established,1968,India,Biography for Artist 127.
290,Artist 36,Established,1998,Brazil,Biography for Artist 36.
291,Artist 362,Emerging,1973,France,Biography for Artist 362.
292,Artist 254,Emerging,1989,Germany,Biography for Artist 254.
293,Artist 314,Emerging,1967,Spain,Biography for Artist 314.
294,Artist 47,Emerging,1990,Canada,Biography for Artist 47.
295,Artist 346,Mid-Career,1993,Germany,Biography for Artist 346.
296,Artist 92,Emerging,1989,UK,Biography for Artist 92.
297,Artist 238,Emerging,1982,UK,Biography for Artist 238.
298,Artist 217,Mid-Career,1980,Mexico,Biography for Artist 217.
299,Artist 209,Emerging,1961,Russia,Biography for Artist 209.
300,Artist 282,Mid-Career,1950,Brazil,Biography for Artist 282.
301,Artist 275,Mid-Career,1960,France,Biography for Artist 275.
302,Artist 393,Emerging,1955,France,Biography for Artist 393.
303,Artist 25,Emerging,1977,Spain,Biography for Artist 25.
304,Artist 377,Emerging,1996,Italy,Biography for Artist 377.
305,Artist 54,Mid-Career,1967,Italy,Biography for Artist 54.
306,Artist 285,Emerging,1980,Japan,Biography for Artist 285.
307,Artist 203,Emerging,1983,India,Biography for Artist 203.
308,Artist 193,Established,1984,South Korea,Biography for Artist 193.
309,Artist 97,Established,1987,Spain,Biography for Artist 97.
310,Artist 10,Established,1999,Mexico,Biography for Artist 10.
311,Artist 72,Emerging,1965,Brazil,Biography for Artist 72.
312,Artist 27,Emerging,1977,Germany,Biography for Artist 27.
313,Artist 343,Guest,1971,South Korea,Biography for Artist 343.
314,Artist 46,Emerging,1951,South Korea,Biography for Artist 46.
315,Artist 152,Established,1974,Brazil,Biography for Artist 152.
316,Artist 181,Guest,1964,Canada,Biography for Artist 181.
317,Artist 319,Mid-Career,1970,Japan,Biography for Artist 319.
318,Artist 225,Mid-Career,1977,UK,Biography for Artist 225.
319,Artist 190,Mid-Career,1983,Spain,Biography for Artist 190.
320,Artist 204,Guest,1999,Canada,Biography for Artist 204.
321,Artist 187,Mid-Career,1953,Australia,Biography for Artist 187.
322,Artist 31,Emerging,1965,China,Biography for Artist 31.
323,Artist 292,Established,1960,Mexico,Biography for Artist 292.
324,Artist 24,Mid-Career,1991,Japan,Biography for Artist 24.
325,Artist 268,Emerging,1978,USA,Biography for Artist 268.
326,Artist 297,Emerging,1957,USA,Biography for Artist 297.
327,Artist 380,Emerging,1962,India,Biography for Artist 380.
328,Artist 60,Established,1996,China,Biography for Artist 60.
329,Artist 224,Emerging,1957,Australia,Biography for Artist 224.
330,Artist 216,Established,1994,South Korea,Biography for Artist 216.
331,Artist 56,Mid-Career,1990,Mexico,Biography for Artist 56.
332,Artist 174,Mid-Career,1987,USA,Biography for Artist 174.
333,Artist 113,Emerging,1961,Italy,Biography for Artist 113.
334,Artist 245,Guest,1965,Russia,Biography for Artist 245.
335,Artist 95,Emerging,1983,Germany,Biography for Artist 95.
336,Artist 334,Guest,1987,Spain,Biography for Artist 334.
337,Artist 71,Established,1992,Mexico,Biography for Artist 71.
338,Artist 161,Guest,1993,Italy,Biography for Artist 161.
339,Artist 176,Established,1971,France,Biography for Artist 176.
340,Artist 211,Emerging,1987,Mexico,Biography for Artist 211.
341,Artist 111,Mid-Career,1980,UK,Biography for Artist 111.
342,Artist 242,Emerging,1992,Brazil,Biography for Artist 242.
343,Artist 295,Emerging,1976,Russia,Biography for Artist 295.
344,Artist 378,Emerging,1988,Spain,Biography for Artist 378.
345,Artist 183,Mid-Career,1979,Australia,Biography for Artist 183.
346,Artist 39,Guest,1965,France,Biography for Artist 39.
347,Artist 136,Guest,1954,Canada,Biography for Artist 136.
348,Artist 243,Established,1987,Italy,Biography for Artist 243.
349,Artist 86,Emerging,1985,UK,Biography for Artist 86.
350,Artist 353,Mid-Career,1988,Spain,Biography for Artist 353.
351,Artist 373,Guest,1979,Spain,Biography for Artist 373.
352,Artist 214,Emerging,1970,Spain,Biography for Artist 214.
353,Artist 372,Emerging,1973,Spain,Biography for Artist 372.
354,Artist 43,Mid-Career,1975,USA,Biography for Artist 43.
355,Artist 226,Mid-Career,1967,France,Biography for Artist 226.
356,Artist 348,Established,1974,France,Biography for Artist 348.
357,Artist 264,Mid-Career,1973,Brazil,Biography for Artist 264.
358,Artist 323,Emerging,1999,Brazil,Biography for Artist 323.
359,Artist 38,Mid-Career,1973,Spain,Biography for Artist 38.
360,Artist 363,Emerging,1961,USA,Biography for Artist 363.
361,Artist 263,Established,1952,France,Biography for Artist 263.
362,Artist 248,Mid-Career,1965,Russia,Biography for Artist 248.
363,Artist 281,Emerging,1983,Italy,Biography for Artist 281.
364,Artist 360,Emerging,1966,Mexico,Biography for Artist 360.
365,Artist 293,Emerging,1994,Mexico,Biography for Artist 293.
366,Artist 112,Established,1950,Spain,Biography for Artist 112.
367,Artist 244,Mid-Career,1953,Japan,Biography for Artist 244.
368,Artist 215,Mid-Career,1961,India,Biography for Artist 215.
369,Artist 386,Mid-Career,1955,China,Biography for Artist 386.
370,Artist 61,Emerging,1951,Canada,Biography for Artist 61.
371,Artist 88,Established,1971,Russia,Biography for Artist 88.
372,Artist 30,Emerging,1987,Spain,Biography for Artist 30.
373,Artist 235,Guest,1978,Russia,Biography for Artist 235.
374,Artist 327,Guest,1976,China,Biography for Artist 327.
375,Artist 251,Mid-Career,1968,Canada,Biography for Artist 251.
376,Artist 382,Emerging,1959,Canada,Biography for Artist 382.
377,Artist 395,Mid-Career,1991,India,Biography for Artist 395.
378,Artist 116,Mid-Career,1985,Italy,Biography for Artist 116.
379,Artist 108,Established,1980,Canada,Biography for Artist 108.
380,Artist 82,Established,1972,Germany,Biography for Artist 82.
381,Artist 330,Emerging,1990,China,Biography for Artist 330.
382,Artist 178,Mid-Career,1998,South Korea,Biography for Artist 178.
383,Artist 379,Mid-Career,1951,Italy,Biography for Artist 379.
384,Artist 200,Emerging,1977,South Korea,Biography for Artist 200.
385,Artist 175,Mid-Career,1968,Germany,Biography for Artist 175.
386,Artist 62,Guest,1991,Japan,Biography for Artist 62.
387,Artist 367,Mid-Career,1965,Japan,Biography for Artist 367.
388,Artist 21,Emerging,1990,India,Biography for Artist 21.
389,Artist 185,Guest,1969,UK,Biography for Artist 185.
390,Artist 313,Mid-Career,1988,Australia,Biography for Artist 313.
392,Artist 359,Mid-Career,1975,Spain,Biography for Artist 359.
393,Artist 41,Guest,1957,Australia,Biography for Artist 41.
394,Artist 341,Emerging,1989,Brazil,Biography for Artist 341.
395,Artist 287,Emerging,1952,Mexico,Biography for Artist 287.
396,Artist 138,Guest,1980,Mexico,Biography for Artist 138.
397,Artist 232,Mid-Career,1970,Mexico,Biography for Artist 232.
398,Artist 144,Established,1970,South Korea,Biography for Artist 144.
399,Artist 220,Emerging,1981,Australia,Biography for Artist 220.
400,Artist 63,Emerging,1953,China,Biography for Artist 63.
401,Artist 219,Established,1964,Spain,Biography for Artist 219.
402,Artist 329,Established,1960,France,Biography for Artist 329.
403,Artist 207,Emerging,1957,UK,Biography for Artist 207.
404,Artist 246,Established,1952,Russia,Biography for Artist 246.
405,Artist 89,Emerging,1960,Brazil,Biography for Artist 89.
406,Artist 130,Established,1983,Germany,Biography for Artist 130.
407,Artist 87,Mid-Career,1987,Brazil,Biography for Artist 87.
408,Artist 12,Established,1976,South Korea,Biography for Artist 12.
409,Artist 228,Established,1986,France,Biography for Artist 228.
410,Artist 320,Guest,1976,Italy,Biography for Artist 320.
411,Artist 384,Emerging,1962,UK,Biography for Artist 384.
412,Artist 300,Emerging,1998,Russia,Biography for Artist 300.
413,Artist 218,Emerging,1958,Germany,Biography for Artist 218.
414,Artist 114,Emerging,1967,Japan,Biography for Artist 114.
415,Artist 296,Established,1967,USA,Biography for Artist 296.
416,Artist 369,Emerging,1977,India,Biography for Artist 369.
417,Artist 45,Mid-Career,1967,China,Biography for Artist 45.
418,Artist 223,Established,1973,India,Biography for Artist 223.
419,Artist 11,Emerging,1997,China,Biography for Artist 11.
420,Artist 198,Guest,1964,India,Biography for Artist 198.
421,Artist 49,Mid-Career,1997,South Korea,Biography for Artist 49.
422,Artist 104,Mid-Career,1998,Germany,Biography for Artist 104.
423,Artist 105,Mid-Career,1992,UK,Biography for Artist 105.
424,Artist 231,Mid-Career,1981,India,Biography for Artist 231.
425,Artist 7,Established,1999,Australia,Biography for Artist 7.
426,Artist 117,Emerging,1978,UK,Biography for Artist 117.
427,Artist 78,Emerging,1990,Germany,Biography for Artist 78.
428,Artist 286,Mid-Career,1985,USA,Biography for Artist 286.
429,Artist 94,Guest,1973,Japan,Biography for Artist 94.
430,Artist 2,Established,1989,Italy,Biography for Artist 2.
431,Artist 381,Mid-Career,1986,China,Biography for Artist 381.
432,Artist 126,Emerging,1998,Germany,Biography for Artist 126.
433,Artist 81,Established,1997,Canada,Biography for Artist 81.
434,Artist 397,Established,1960,South Korea,Biography for Artist 397.
435,Artist 131,Emerging,1958,Russia,Biography for Artist 131.
436,Artist 262,Established,1958,France,Biography for Artist 262.
437,Artist 322,Mid-Career,1991,China,Biography for Artist 322.
438,Artist 339,Mid-Career,1985,Brazil,Biography for Artist 339.
439,Artist 230,Mid-Career,1986,Japan,Biography for Artist 230.
440,Artist 34,Established,1961,Germany,Biography for Artist 34.
441,Artist 26,Established,1952,South Korea,Biography for Artist 26.
442,Artist 182,Guest,1977,Germany,Biography for Artist 182.
443,Artist 289,Established,1961,South Korea,Biography for Artist 289.
444,Artist 240,Emerging,1958,Spain,Biography for Artist 240.
445,Artist 125,Established,1979,Japan,Biography for Artist 125.
446,Artist 267,Established,1965,China,Biography for Artist 267.
447,Artist 128,Emerging,1954,Australia,Biography for Artist 128.
448,Artist 143,Established,1971,Spain,Biography for Artist 143.
449,Artist 122,Mid-Career,1966,Brazil,Biography for Artist 122.
450,Artist 191,Guest,1960,Spain,Biography for Artist 191.
451,Artist 351,Established,1989,UK,Biography for Artist 351.
452,Artist 269,Established,1990,Brazil,Biography for Artist 269.
453,Artist 132,Mid-Career,1988,Mexico,Biography for Artist 132.
454,Artist 333,Mid-Career,1987,China,Biography for Artist 333.
455,Artist 260,Emerging,1988,UK,Biography for Artist 260.
456,Artist 65,Mid-Career,1968,China,Biography for Artist 65.
458,Artist 192,Mid-Career,1972,Canada,Biography for Artist 192.
459,Artist 278,Emerging,1999,Italy,Biography for Artist 278.
460,Artist 180,Guest,1975,Canada,Biography for Artist 180.
461,Artist 237,Emerging,1972,Russia,Biography for Artist 237.
462,Artist 259,Established,1967,Australia,Biography for Artist 259.
463,Artist 280,Guest,1974,USA,Biography for Artist 280.
464,Artist 394,Emerging,1960,Canada,Biography for Artist 394.
465,Artist 271,Emerging,1995,USA,Biography for Artist 271.
466,Artist 3,Mid-Career,1994,France,Biography for Artist 3.
467,Artist 340,Emerging,1959,China,Biography for Artist 340.
468,Artist 16,Mid-Career,1996,Japan,Biography for Artist 16.
469,Artist 90,Guest,1953,France,Biography for Artist 90.
470,Artist 19,Mid-Career,1966,Australia,Biography for Artist 19.
471,Artist 256,Emerging,1981,UK,Biography for Artist 256.
472,Artist 8,Mid-Career,1954,Russia,Biography for Artist 8.
473,Artist 236,Guest,1967,Germany,Biography for Artist 236.
474,Artist 392,Emerging,1999,Australia,Biography for Artist 392.
475,Artist 199,Emerging,1989,Japan,Biography for Artist 199.
476,Artist 85,Guest,1976,France,Biography for Artist 85.
477,Artist 241,Established,1993,China,Biography for Artist 241.
478,Artist 335,Emerging,1991,Japan,Biography for Artist 335.
479,Artist 23,Mid-Career,1964,Mexico,Biography for Artist 23.
480,Artist 249,Mid-Career,1951,France,Biography for Artist 249.
481,Artist 84,Emerging,1963,Russia,Biography for Artist 84.
482,Artist 370,Established,1952,USA,Biography for Artist 370.
483,Artist 234,Emerging,1998,Germany,Biography for Artist 234.
484,Artist 124,Established,1998,Germany,Biography for Artist 124.
485,Artist 115,Established,1973,Russia,Biography for Artist 115.
486,Artist 168,Guest,1973,China,Biography for Artist 168.
487,Artist 123,Mid-Career,1994,Russia,Biography for Artist 123.
488,Artist 328,Emerging,1985,UK,Biography for Artist 328.
489,Artist 101,Established,1969,UK,Biography for Artist 101.
490,Artist 20,Guest,1981,Germany,Biography for Artist 20.
491,Artist 302,Mid-Career,1969,Japan,Biography for Artist 302.
492,Artist 331,Emerging,1990,Italy,Biography for Artist 331.
493,Artist 375,Emerging,1997,Canada,Biography for Artist 375.
494,Artist 274,Emerging,1953,Canada,Biography for Artist 274.
495,Artist 308,Emerging,1963,UK,Biography for Artist 308.
496,Artist 342,Emerging,1950,Australia,Biography for Artist 342.
497,Artist 364,Emerging,1980,Germany,Biography for Artist 364.
498,Artist 383,Mid-Career,1989,South Korea,Biography for Artist 383.
499,Artist 307,Emerging,1954,France,Biography for Artist 307.
500,Artist 146,Emerging,1998,Italy,Biography for Artist 146.
