artwork_id,title,artist_id,category_id,year_created,inventory_status,acquisition_date,retail_price
310,Artwork Title 1456,230,4,2020,In Stock,2023-01-20,5794.51
311,Artwork Title 1580,115,10,2015,Sold,2021-07-27,7947.76
312,Artwork Title 2576,422,10,2020,Sold,2024-08-08,2714.64
313,Artwork Title 395,423,8,2019,Sold,2022-07-14,6320.85
314,Artwork Title 207,235,8,2020,Sold,2022-01-08,5507.99
315,Artwork Title 479,280,5,2013,Sold,2024-10-11,8094.54
316,Artwork Title 1737,379,3,2014,Sold,2023-07-26,3130.96
317,Artwork Title 796,283,1,2015,Sold,2021-11-30,4593.35
318,Artwork Title 2006,276,6,2009,Sold,2022-06-19,8092.45
319,Artwork Title 1534,341,7,2016,Sold,2022-09-10,5571.89
320,Artwork Title 1642,253,5,2009,Sold,2021-10-27,9254.54
321,Artwork Title 1124,366,4,2006,In Stock,2016-09-22,4276.41
322,Artwork Title 2446,333,2,2018,Sold,2021-11-14,5999.63
323,Artwork Title 200,414,4,2014,Sold,2023-05-17,6457.43
324,Artwork Title 1014,425,7,2001,Sold,2022-02-13,4458.72
325,Artwork Title 1579,485,9,2008,Sold,2021-11-06,1563.76
326,Artwork Title 420,280,9,2018,Sold,2021-12-26,4663.81
327,Artwork Title 642,173,2,2010,Sold,2022-10-08,3817.9
328,Artwork Title 462,419,7,2004,Sold,2021-04-12,5870.96
329,Artwork Title 487,378,3,2018,Sold,2023-01-14,6619.84
330,Artwork Title 308,426,5,2017,Sold,2022-05-10,7370.45
331,Artwork Title 2663,287,4,2005,Sold,2022-11-19,4851.97
332,Artwork Title 610,294,5,2009,Sold,2021-12-14,3811.67
333,Artwork Title 1609,220,10,2002,Sold,2023-03-06,9435.78
334,Artwork Title 2351,429,5,2020,Sold,2024-11-02,8100.56
335,Artwork Title 844,266,7,2002,Sold,2022-01-14,2879.95
336,Artwork Title 2649,114,4,2009,Sold,2024-04-17,8750.54
337,Artwork Title 2203,449,5,2003,Sold,2022-10-09,8065.31
338,Artwork Title 1550,481,7,2022,Sold,2024-02-05,5895.05
339,Artwork Title 161,487,2,2020,Sold,2021-03-02,6536.66
340,Artwork Title 307,484,5,2011,Sold,2022-04-22,4007.1
341,Artwork Title 2022,445,4,2009,Sold,2023-03-04,3150.05
342,Artwork Title 903,432,1,2006,Sold,2022-07-13,6538.12
343,Artwork Title 2316,289,3,2012,Sold,2021-07-23,6513.45
344,Artwork Title 2523,236,3,2003,Sold,2022-02-01,3517.36
345,Artwork Title 1776,447,1,2009,Sold,2022-12-06,6544.21
346,Artwork Title 2605,175,1,2010,Sold,2022-02-22,7699.58
347,Artwork Title 1811,406,8,2016,Sold,2021-07-15,3859.38
348,Artwork Title 2238,435,1,2022,Sold,2024-03-14,9046.37
349,Artwork Title 1858,453,6,2017,Sold,2021-04-15,6236.31
350,Artwork Title 262,106,3,2019,Sold,2022-06-09,5315.38
351,Artwork Title 1089,275,8,2008,Sold,2022-01-28,5385.38
352,Artwork Title 2038,129,5,2001,Sold,2021-11-02,6318.64
353,Artwork Title 2127,347,2,2002,Sold,2024-01-05,3045.11
354,Artwork Title 995,240,7,2018,Sold,2021-11-23,5864.82
355,Artwork Title 2380,396,6,2019,Sold,2023-01-27,2886.45
356,Artwork Title 2302,144,3,2001,Sold,2023-03-05,5342.05
357,Artwork Title 1218,214,4,2015,Sold,2022-09-27,3987.03
358,Artwork Title 711,130,7,2000,Sold,2022-07-31,6148.83
359,Artwork Title 1706,201,3,2012,Sold,2021-06-25,5049.57
360,Artwork Title 2736,309,8,2000,Sold,2021-03-08,2658.62
361,Artwork Title 1516,448,8,2013,Sold,2023-03-21,4488.77
362,Artwork Title 2375,398,4,2009,Sold,2021-11-18,7099.07
363,Artwork Title 950,187,1,2005,Sold,2021-08-19,4595.98
364,Artwork Title 1844,500,9,2002,Sold,2022-05-05,6384.68
365,Artwork Title 1285,117,5,2017,Sold,2021-08-08,4814.7
366,Artwork Title 2421,193,9,2005,Sold,2022-08-27,7042.82
367,Artwork Title 6,125,6,2008,Sold,2022-11-24,6126.55
368,Artwork Title 2049,476,2,2014,Sold,2025-04-06,3752.63
369,Artwork Title 2741,131,7,2014,Sold,2022-06-14,1948.96
370,Artwork Title 623,386,7,2006,Sold,2021-12-17,7398.35
371,Artwork Title 706,312,4,2011,In Stock,2025-04-10,7574.87
372,Artwork Title 1906,190,8,2001,Sold,2021-11-22,5461.92
373,Artwork Title 1545,315,5,2011,Sold,2022-09-06,7612.62
374,Artwork Title 811,419,6,2005,Sold,2024-01-16,4089.44
375,Artwork Title 1595,116,10,2020,In Stock,2022-09-29,8236.9
376,Artwork Title 2193,204,7,2011,In Stock,2024-06-26,2452.54
377,Artwork Title 1268,233,10,2001,Sold,2022-08-16,8083.43
378,Artwork Title 42,158,3,2021,In Stock,2024-03-17,9930.06
379,Artwork Title 358,163,7,2017,Sold,2022-04-21,6926.24
380,Artwork Title 1490,277,2,2010,In Stock,2022-03-01,9372.54
381,Artwork Title 2233,194,3,2012,Sold,2022-08-10,4567.94
382,Artwork Title 91,272,1,2005,Sold,2022-09-02,5886.01
383,Artwork Title 2164,407,8,2008,Sold,2021-08-26,6362.49
384,Artwork Title 2434,267,7,2005,Sold,2023-01-23,3336.56
385,Artwork Title 559,429,3,2011,In Stock,2021-03-03,8543.93
386,Artwork Title 275,129,5,2009,Sold,2023-03-04,5390.79
387,Artwork Title 973,276,5,2002,Sold,2021-09-21,5625.35
388,Artwork Title 1193,203,7,2019,Sold,2021-05-20,5707.14
389,Artwork Title 1544,121,8,2009,In Stock,2022-07-24,1732.71
390,Artwork Title 203,163,8,2004,Sold,2022-06-28,7524.55
391,Artwork Title 525,338,9,2011,Sold,2022-02-03,3199.91
392,Artwork Title 45,127,5,2011,Sold,2021-11-10,4849.29
393,Artwork Title 402,200,4,2011,In Stock,2019-12-05,2595.37
394,Artwork Title 1795,196,9,2023,Sold,2021-12-16,6958.77
395,Artwork Title 473,274,1,2010,Sold,2025-01-28,9300.04
396,Artwork Title 552,185,6,2000,Sold,2021-09-11,5075.86
397,Artwork Title 829,102,10,2020,In Stock,2015-03-18,4081.67
398,Artwork Title 1889,220,3,2016,Sold,2021-09-08,5074.28
399,Artwork Title 337,472,10,2005,Sold,2022-12-07,6651.04
400,Artwork Title 1924,223,7,2021,Sold,2023-12-29,10908.37
401,Artwork Title 999,171,4,2008,Sold,2022-03-16,4961.76
402,Artwork Title 594,486,2,2017,Sold,2022-05-02,5780.57
403,Artwork Title 541,305,4,2001,Sold,2021-12-14,7066.34
404,Artwork Title 1408,101,6,2017,In Stock,2025-12-26,6736.66
405,Artwork Title 1254,221,2,2003,Sold,2023-08-28,6414.39
406,Artwork Title 887,215,7,2009,Sold,2023-03-02,9274.68
407,Artwork Title 1927,173,10,2022,Sold,2025-04-13,6027.58
408,Artwork Title 1574,210,7,2005,Sold,2023-01-14,6799.65
409,Artwork Title 994,255,10,2016,Sold,2022-06-16,6218.14
410,Artwork Title 652,124,4,2017,Sold,2024-04-16,4211.16
411,Artwork Title 66,176,8,2014,Sold,2022-11-29,5067.96
412,Artwork Title 231,332,2,2020,In Stock,2025-03-12,2825.91
413,Artwork Title 864,385,5,2016,Sold,2022-04-24,4028.51
414,Artwork Title 1279,339,9,2018,Sold,2022-05-04,4353.23
415,Artwork Title 1328,121,10,2023,Sold,2021-10-27,10801.93
416,Artwork Title 2224,285,1,2003,Sold,2023-11-29,6034.35
417,Artwork Title 876,108,7,2005,Sold,2023-11-11,2864.72
418,Artwork Title 577,220,7,2006,Sold,2022-04-29,8935.42
419,Artwork Title 1247,255,6,2020,Sold,2025-05-02,10957.85
420,Artwork Title 191,382,5,2021,Sold,2021-07-02,7255.28
421,Artwork Title 2718,485,10,2004,In Stock,2023-03-04,4362.87
422,Artwork Title 862,197,6,2009,Sold,2023-04-01,4489.71
423,Artwork Title 1356,460,6,2015,Sold,2023-06-09,2808.06
424,Artwork Title 198,316,1,2018,Sold,2023-07-11,5829.17
425,Artwork Title 359,442,5,2019,Sold,2022-11-12,8027.17
426,Artwork Title 1311,345,10,2021,Sold,2022-01-11,5421.67
427,Artwork Title 115,227,9,2003,Sold,2022-09-28,7595.51
428,Artwork Title 2641,389,5,2014,Sold,2022-08-26,3670.83
429,Artwork Title 2776,199,2,2000,Sold,2022-07-10,5772.21
430,Artwork Title 1472,106,7,2002,Sold,2023-02-20,8409.53
431,Artwork Title 2020,423,4,2013,Sold,2021-08-22,4331.77
432,Artwork Title 2116,331,8,2005,Sold,2022-08-24,6480.12
433,Artwork Title 2766,430,2,2017,Sold,2023-04-16,5364.03
434,Artwork Title 27,182,9,2011,Sold,2022-03-05,2502.38
435,Artwork Title 2636,321,1,2001,Sold,2023-11-25,2558.43
436,Artwork Title 845,226,8,2006,Sold,2022-02-25,5365.85
437,Artwork Title 2259,206,10,2006,Sold,2024-12-26,4720.18
438,Artwork Title 1287,319,6,2008,Sold,2021-11-19,1841.73
439,Artwork Title 1576,450,9,2001,Sold,2024-02-14,10732.62
440,Artwork Title 2603,458,7,2002,In Stock,2024-11-18,9375.56
441,Artwork Title 2210,308,8,2011,In Stock,2024-12-12,3356.45
442,Artwork Title 631,178,8,2017,Sold,2022-10-24,6957.48
443,Artwork Title 2782,421,3,2009,Sold,2021-08-03,3198.93
444,Artwork Title 412,144,4,2001,Sold,2021-08-07,8508.66
445,Artwork Title 435,200,2,2016,Sold,2021-12-27,5992.71
446,Artwork Title 17,255,9,2016,Sold,2022-03-18,6841.92
447,Artwork Title 1033,186,10,2010,Sold,2024-02-03,4630.06
448,Artwork Title 392,165,10,2003,Sold,2022-12-07,4028.86
449,Artwork Title 1758,123,10,2010,Sold,2021-12-11,1018.14
450,Artwork Title 393,283,1,2019,Sold,2022-05-25,6330.43
451,Artwork Title 1238,254,5,2009,Sold,2022-05-24,7673.11
452,Artwork Title 2084,285,8,2005,In Stock,2024-06-19,9728.25
453,Artwork Title 210,261,6,2007,Sold,2021-10-17,5957.19
454,Artwork Title 2243,156,5,2002,Sold,2021-09-30,4607.37
455,Artwork Title 226,203,5,2023,In Stock,2021-05-21,7941.42
456,Artwork Title 1187,445,3,2008,Sold,2023-04-22,9996.64
457,Artwork Title 2662,354,8,2015,Sold,2024-12-08,3160.15
458,Artwork Title 943,286,5,2019,Sold,2022-11-09,6176.21
459,Artwork Title 716,102,3,2006,Sold,2021-08-16,7772.7
460,Artwork Title 227,283,5,2011,Sold,2024-02-28,8602.55
461,Artwork Title 2162,468,1,2001,Sold,2022-04-14,7605.58
462,Artwork Title 361,138,10,2015,Sold,2022-07-16,6692.24
463,Artwork Title 2393,341,8,2002,Sold,2021-12-28,6246.19
464,Artwork Title 1729,420,3,2018,Sold,2023-04-06,2926.65
465,Artwork Title 2633,475,9,2006,Sold,2021-05-09,6363.42
466,Artwork Title 2005,384,7,2009,Sold,2022-10-30,829.61
467,Artwork Title 658,339,8,2006,Sold,2021-06-12,3298.96
468,Artwork Title 941,248,4,2022,Sold,2023-05-02,7621.18
469,Artwork Title 830,388,3,2009,Sold,2022-03-08,4143.58
470,Artwork Title 1484,430,5,2000,Sold,2022-03-16,3591.38
471,Artwork Title 515,475,2,2014,In Stock,2015-02-14,2195.14
472,Artwork Title 1680,366,4,2004,Sold,2023-02-13,6152.52
473,Artwork Title 567,213,8,2006,Sold,2022-03-09,5236.42
474,Artwork Title 2634,108,2,2000,Sold,2023-10-09,8179.5
475,Artwork Title 1236,222,10,2017,Sold,2021-06-21,1236.75
476,Artwork Title 1332,449,9,2004,Sold,2023-11-11,11515.27
477,Artwork Title 1724,307,3,2011,Sold,2021-07-02,7447.9
478,Artwork Title 681,320,3,2019,Sold,2021-07-07,6894.76
479,Artwork Title 2172,235,3,2020,Sold,2023-08-22,6467.14
480,Artwork Title 2106,279,2,2011,Sold,2021-08-29,3885.64
481,Artwork Title 117,408,7,2022,Sold,2022-04-08,4768.16
482,Artwork Title 1441,189,7,2013,Sold,2021-04-13,1843.17
483,Artwork Title 2646,178,7,2015,Sold,2021-11-10,6394.8
484,Artwork Title 2209,181,4,2008,Sold,2021-05-16,7920.72
485,Artwork Title 1930,403,10,2009,Sold,2022-01-28,3830.62
486,Artwork Title 1746,162,3,2016,Sold,2023-01-03,8512.81
487,Artwork Title 1702,384,1,2020,Sold,2021-11-02,4089.69
488,Artwork Title 957,299,5,2005,Sold,2023-09-18,4874.33
489,Artwork Title 1410,328,9,2002,Sold,2022-05-09,6772.2
490,Artwork Title 691,121,10,2007,In Stock,2025-01-24,3118.47
491,Artwork Title 1867,104,7,2000,Sold,2024-08-23,3535.02
492,Artwork Title 2033,232,10,2003,In Stock,2025-04-03,9864.12
493,Artwork Title 1840,107,6,2002,Sold,2022-09-14,3345.47
494,Artwork Title 1599,406,10,2014,Sold,2023-04-18,7863.1
495,Artwork Title 291,340,3,2023,Sold,2022-03-21,3533.02
496,Artwork Title 440,105,3,2001,Sold,2022-04-25,8844.16
497,Artwork Title 2034,239,2,2011,In Stock,2022-04-09,644.84
498,Artwork Title 141,378,8,2000,Sold,2024-07-16,5916.24
499,Artwork Title 1970,352,5,2012,In Stock,2015-11-22,2790.58
500,Artwork Title 2409,368,1,2009,Sold,2023-10-15,6823.53
501,Artwork Title 2107,232,10,2013,Sold,2023-12-16,1498.36
502,Artwork Title 1770,330,5,2016,Sold,2021-04-29,4370.02
503,Artwork Title 2171,268,7,2001,Sold,2021-12-01,5237.18
504,Artwork Title 1669,190,3,2009,Sold,2025-08-28,8770.52
505,Artwork Title 1882,305,2,2012,Sold,2021-06-12,2742.1
506,Artwork Title 526,175,2,2021,Sold,2022-12-13,4949.05
507,Artwork Title 2546,103,9,2015,Sold,2022-04-26,4659.38
508,Artwork Title 2388,280,6,2017,Sold,2023-05-07,9044.35
509,Artwork Title 246,194,4,2013,Sold,2022-03-10,5766.29
510,Artwork Title 99,296,10,2004,In Stock,2015-05-18,6393.59
511,Artwork Title 626,114,8,2012,Sold,2022-10-01,5949.11
512,Artwork Title 1646,298,7,2013,Sold,2021-09-10,4397.62
513,Artwork Title 1621,413,7,2001,Sold,2023-02-16,5034.88
514,Artwork Title 2254,489,10,2013,Sold,2022-07-02,6815.22
515,Artwork Title 279,401,8,2002,Sold,2024-11-19,8580.32
516,Artwork Title 861,399,2,2008,Sold,2023-12-12,8178.85
517,Artwork Title 1618,250,1,2012,Sold,2022-12-17,8336.19
518,Artwork Title 891,269,4,2016,Sold,2021-09-08,5744.01
519,Artwork Title 522,418,8,2005,In Stock,2023-09-12,9100.37
520,Artwork Title 1749,221,10,2023,Sold,2022-01-01,7592.1
521,Artwork Title 1183,329,10,2016,Sold,2023-01-25,6750.07
522,Artwork Title 1290,298,5,2023,Sold,2024-12-20,5441.04
523,Artwork Title 797,384,5,2020,In Stock,2019-01-10,9555.75
524,Artwork Title 1094,108,4,2022,Sold,2022-06-04,4674.72
525,Artwork Title 1177,247,4,2011,Sold,2021-12-03,5492.68
526,Artwork Title 810,318,5,2007,Sold,2023-01-29,6184.94
527,Artwork Title 1333,355,10,2003,Sold,2022-03-01,4047.54
528,Artwork Title 1998,213,3,2018,Sold,2022-04-23,7267.35
529,Artwork Title 1463,213,10,2004,Sold,2021-03-05,6731.42
530,Artwork Title 676,143,3,2008,Sold,2022-01-23,3438.25
531,Artwork Title 38,261,8,2021,Sold,2023-06-03,5176.07
532,Artwork Title 2538,114,10,2013,Sold,2023-12-27,5876.18
533,Artwork Title 1781,409,6,2002,In Stock,2017-02-05,4317.77
534,Artwork Title 852,401,2,2018,Sold,2021-05-07,3555.43
535,Artwork Title 926,278,6,2006,Sold,2022-03-25,4879.57
536,Artwork Title 2414,439,7,2006,Sold,2021-04-23,6123.36
537,Artwork Title 467,424,1,2021,Sold,2023-08-19,9237.74
538,Artwork Title 1122,429,1,2000,Sold,2022-02-18,5746.58
539,Artwork Title 1581,253,8,2010,Sold,2022-12-14,3847.8
540,Artwork Title 1700,397,8,2009,Sold,2021-05-03,4656.36
541,Artwork Title 550,261,9,2000,Sold,2022-04-29,4912.79
542,Artwork Title 1902,234,6,2011,Sold,2021-06-12,5941.86
543,Artwork Title 2697,483,7,2019,Sold,2021-06-06,6498.21
544,Artwork Title 1741,373,8,2002,Sold,2022-11-21,5872.58
545,Artwork Title 1937,419,10,2009,Sold,2022-03-20,9858.5
546,Artwork Title 2192,319,5,2004,Sold,2021-09-26,8247.24
547,Artwork Title 592,439,5,2006,Sold,2022-11-01,6039.1
548,Artwork Title 1018,384,9,2001,Sold,2022-04-12,6059.02
549,Artwork Title 1096,473,2,2016,Sold,2022-08-07,5954.93
550,Artwork Title 1505,461,10,2011,Sold,2024-02-24,4640.64
551,Artwork Title 1775,297,5,2008,Sold,2023-08-21,9968.27
552,Artwork Title 2647,330,1,2018,In Stock,2018-06-22,8585.21
553,Artwork Title 1021,268,8,2022,Sold,2022-12-23,6668.93
554,Artwork Title 2496,264,4,2003,Sold,2025-07-01,8653.21
555,Artwork Title 1293,444,5,2010,In Stock,2018-01-29,9341.71
556,Artwork Title 1467,206,1,2004,Sold,2022-07-11,7234.52
557,Artwork Title 2783,477,5,2021,Sold,2022-02-14,8641.48
558,Artwork Title 2411,342,4,2006,Sold,2022-05-18,4885.02
559,Artwork Title 1135,345,7,2014,Sold,2024-12-29,805.24
560,Artwork Title 2030,171,6,2009,Sold,2022-09-21,7436.31
561,Artwork Title 1105,122,10,2021,Sold,2022-11-11,5894.26
562,Artwork Title 1457,500,5,2012,Sold,2022-08-21,8748.5
563,Artwork Title 2361,348,3,2017,Sold,2021-03-25,3698.94
564,Artwork Title 135,166,4,2014,Sold,2023-09-04,5910.71
565,Artwork Title 71,354,10,2009,Sold,2022-03-01,6993.13
566,Artwork Title 2319,125,8,2001,Sold,2022-05-17,4695.22
567,Artwork Title 2009,235,6,2018,In Stock,2025-08-25,6913.74
568,Artwork Title 712,367,10,2009,Sold,2021-06-18,7767.54
569,Artwork Title 428,334,2,2016,Sold,2022-09-19,3577.18
570,Artwork Title 1065,104,10,2000,Sold,2021-08-04,3887.86
571,Artwork Title 1093,297,2,2006,Sold,2022-05-14,8147.22
572,Artwork Title 2358,404,7,2001,Sold,2023-03-25,8483.14
573,Artwork Title 2016,355,3,2008,Sold,2021-11-03,5851.58
574,Artwork Title 1159,407,3,2012,Sold,2021-12-05,3912.56
575,Artwork Title 1554,367,2,2002,Sold,2021-08-24,5027.36
576,Artwork Title 961,342,1,2007,Sold,2023-02-12,5711.1
577,Artwork Title 2704,241,10,2007,Sold,2021-05-06,2374.11
578,Artwork Title 2551,267,3,2022,Sold,2021-10-01,5544.11
579,Artwork Title 295,320,6,2002,Sold,2022-04-26,6251.84
580,Artwork Title 754,362,2,2004,Sold,2023-05-25,5600.17
581,Artwork Title 1346,311,2,2017,Sold,2022-05-02,7824.5
582,Artwork Title 1921,433,5,2023,Sold,2022-03-14,6782.6
583,Artwork Title 917,480,2,2010,Sold,2022-02-19,9879.38
584,Artwork Title 1787,385,7,2022,Sold,2024-12-01,5311.94
585,Artwork Title 331,265,5,2021,Sold,2021-05-15,4083.6
586,Artwork Title 2386,208,1,2018,Sold,2022-02-20,4268.95
587,Artwork Title 1435,180,9,2018,Sold,2021-11-25,5344.06
588,Artwork Title 1623,268,10,2016,Sold,2024-05-20,3219.22
589,Artwork Title 1984,375,1,2004,Sold,2023-05-20,6963.72
590,Artwork Title 32,205,4,2014,Sold,2021-05-28,4477.01
591,Artwork Title 2088,294,9,2004,Sold,2022-11-05,8074.94
592,Artwork Title 1286,237,10,2005,Sold,2022-10-25,3503.04
593,Artwork Title 598,119,7,2003,Sold,2021-11-01,4896.79
594,Artwork Title 1005,320,7,2022,In Stock,2019-07-10,1299.25
595,Artwork Title 1807,287,2,2000,Sold,2022-11-05,3561.97
596,Artwork Title 2672,106,1,2003,Sold,2023-09-30,5841.43
597,Artwork Title 2342,266,7,2011,Sold,2022-03-04,5059.51
598,Artwork Title 1897,292,2,2008,Sold,2021-11-28,6785.38
599,Artwork Title 1353,396,7,2016,Sold,2021-11-04,7598.26
600,Artwork Title 1234,133,8,2012,Sold,2023-07-07,5257.37
